Model,Temperature_change_East_Future
NorESM2-MM,0.9565075
MIROC5,1.567179
KIOST-ESM,0.9824987
MRI-ESM1,0.97466576
CanESM2,1.2460651
CMCC-CMS,0.63396937
MIROC-ESM-CHEM,0.82904905
CMCC-CM2-SR5,0.932135
CMCC-ESM2,0.9789298
ACCESS-ESM1-5,1.1247019
bcc-csm1-1-m,0.56107414
CAS-ESM2-0,1.1819664
MIROC6,1.0053012
CIESM,0.91340476
MIROC-ES2L,0.8820299
CESM2-WACCM,1.5991963
CNRM-CM6-1-HR,0.5113246
GFDL-ESM4,1.0649176
FIO-ESM-2-0,1.0711946
NorESM1-ME,0.3467201
CMCC-CM,0.47685596
CSIRO-Mk3-6-0,0.6795833
FGOALS-g3,0.78812784
UKESM1-0-LL,1.2128319
GFDL-CM4,0.649141
MRI-CGCM3,0.87380457
GFDL-ESM2G,0.27965233
ACCESS1.3,1.062262
CNRM-CM6-1,0.58136106
ACCESS1-0,0.94377196
FGOALS-f3-L,0.69289243
CAMS-CSM1-0,0.40278247
TaiESM1,0.99284494
E3SM-1-1,1.4988116
IPSL-CM5B-LR,0.9527446
IPSL-CM6A-LR,0.88212276
GFDL-CM3,0.7239189
MPI-ESM-LR,0.49794132
CanESM5,1.022709
AWI-CM-1-1-MR,0.59288275
NESM3,0.28109723
MPI-ESM1-2-HR,0.5698746
MRI-ESM2-0,0.82088935
MPI-ESM-MR,0.6280494
EC-Earth3-CC,0.8331418
CNRM-CM5,0.45039
ACCESS-CM2,0.9169225
CESM2,1.5975282
bcc-csm1-1,0.57859004
EC-Earth3-Veg,1.0241039
CMCC-CESM,1.20782
MIROC-ESM,0.88811475
inmcm4,0.13545498
IPSL-CM5A-MR,0.3394756
GFDL-ESM2M,0.41261688
IPSL-CM5A-LR,0.2709154
NorESM2-LM,0.88983047
CCSM4,0.459625
NorESM1-M,0.19171774
EC-Earth3-Veg-LR,0.83460236
EC-Earth3,1.1649635
CNRM-ESM2-1,0.60660845
MPI-ESM1-2-LR,0.44055286
